"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0778,0.0544,0.0918,0.0566
0.333333333333333,0.0661,0.05,0.078,0.0445
0.5,0.0591,0.0478,0.0684,0.0399
0.75,0.0532,0.0415,0.0589,0.0299
1,0.048,0.0394,0.0537,0.028
1.33333333333333,0.0504,0.0406,0.0559,0.0293
2,0.0638,0.0517,0.0743,0.0393
3,0.0704,0.0549,0.0808,0.0485
4,0.0748,0.053,0.0861,0.0581
