"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0712,0.0545,0.0714,0.0517
0.333333333333333,0.0696,0.056,0.0734,0.0488
0.5,0.0559,0.0471,0.0613,0.0374
0.75,0.0526,0.0457,0.0568,0.0332
1,0.0509,0.0455,0.057,0.0331
1.33333333333333,0.0506,0.0446,0.0552,0.0304
2,0.0614,0.0519,0.0652,0.0416
3,0.067,0.0549,0.0684,0.0472
4,0.0691,0.0507,0.0692,0.0501
