"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.087,0.0582,0.1619,0
0.333333333333333,0.0784,0.0533,0.1457,0
0.5,0.0571,0.0396,0.1135,0
0.75,0.0547,0.0377,0.1082,0
1,0.0475,0.0339,0.1006,0
1.33333333333333,0.0487,0.0349,0.1001,0
2,0.0626,0.0442,0.1186,0
3,0.0718,0.0481,0.136,0
4,0.0843,0.0561,0.1625,0
