"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0315,0.049,0.0338,0.0338
0.333333333333333,0.0273,0.0418,0.0264,0.0264
0.5,0.035,0.0452,0.0289,0.0289
0.75,0.0407,0.0414,0.029,0.029
1,0.052,0.0475,0.0372,0.0372
1.33333333333333,0.0642,0.0525,0.0435,0.0435
2,0.1047,0.0601,0.0722,0.0722
3,0.139,0.0666,0.1025,0.1025
4,0.1617,0.0649,0.1239,0.1239
