"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0696,0.0522,0.051,0.051
0.333333333333333,0.0632,0.0512,0.0468,0.0468
0.5,0.0594,0.052,0.047,0.047
0.75,0.049,0.0438,0.0381,0.0381
1,0.0495,0.0458,0.0406,0.0406
1.33333333333333,0.0522,0.0473,0.0422,0.0422
2,0.0579,0.049,0.0456,0.0456
3,0.0622,0.0499,0.0474,0.0474
4,0.0688,0.053,0.0492,0.0492
