"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0733,0.0546,0.0719,0.0549
0.333333333333333,0.0682,0.052,0.0688,0.0475
0.5,0.0576,0.0478,0.0615,0.0371
0.75,0.0546,0.0477,0.0612,0.035
1,0.0509,0.0447,0.056,0.0318
1.33333333333333,0.0488,0.0434,0.051,0.0302
2,0.0602,0.051,0.0627,0.04
3,0.0631,0.0509,0.0647,0.0458
4,0.0726,0.0541,0.0744,0.0535
