"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0695,0.0506,0.0486,0.0486
0.333333333333333,0.0701,0.0577,0.0524,0.0524
0.5,0.0569,0.0498,0.0444,0.0444
0.75,0.051,0.0475,0.0443,0.0443
1,0.0508,0.0461,0.0428,0.0428
1.33333333333333,0.0494,0.0454,0.0405,0.0405
2,0.0583,0.0506,0.0455,0.0455
3,0.0621,0.0504,0.0472,0.0472
4,0.0662,0.0503,0.0487,0.0487
