"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0516,0.0531,0.0732,0
0.333333333333333,0.0451,0.0464,0.0642,0
0.5,0.0453,0.0425,0.0562,0
0.75,0.0465,0.0393,0.0535,0
1,0.048,0.0372,0.0574,0
1.33333333333333,0.0603,0.0443,0.0673,0
2,0.0827,0.0529,0.0862,0
3,0.1082,0.0606,0.1183,0
4,0.1267,0.0656,0.1389,0
