"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0728,0.0535,0.0728,0.0528
0.333333333333333,0.0636,0.0501,0.0634,0.0443
0.5,0.0573,0.0479,0.059,0.0364
0.75,0.0492,0.0422,0.0537,0.0317
1,0.0495,0.0441,0.0573,0.0293
1.33333333333333,0.0497,0.0437,0.0552,0.0322
2,0.059,0.0494,0.0633,0.0393
3,0.0674,0.0534,0.0692,0.0481
4,0.0694,0.0502,0.0692,0.0514
