"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.047,0.0488,0.0387,0.0387
0.333333333333333,0.0461,0.0487,0.0373,0.0373
0.5,0.0421,0.0418,0.0302,0.0302
0.75,0.0488,0.0463,0.0317,0.0317
1,0.0509,0.0462,0.031,0.031
1.33333333333333,0.0571,0.0449,0.035,0.035
2,0.0787,0.0535,0.0506,0.0506
3,0.0894,0.0558,0.0604,0.0604
4,0.101,0.051,0.0727,0.0727
