"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0654,0.0506,0.0494,0.0494
0.333333333333333,0.0649,0.0518,0.048,0.048
0.5,0.0567,0.0492,0.0458,0.0458
0.75,0.0536,0.0488,0.0439,0.0439
1,0.0502,0.0465,0.0435,0.0435
1.33333333333333,0.0482,0.0443,0.0402,0.0402
2,0.0546,0.0464,0.0447,0.0447
3,0.0622,0.0517,0.0463,0.0463
4,0.0678,0.0512,0.0486,0.0486
