"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0509,0.053,0.0746,0
0.333333333333333,0.0473,0.0459,0.0655,0
0.5,0.0458,0.043,0.0554,0
0.75,0.0403,0.0357,0.0499,0
1,0.055,0.0438,0.0581,0
1.33333333333333,0.0611,0.0457,0.0679,0
2,0.0843,0.0565,0.087,0
3,0.1038,0.0562,0.111,0
4,0.115,0.055,0.1273,0
