"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0753,0.0531,0.0912,0.0578
0.333333333333333,0.0715,0.0564,0.0833,0.0516
0.5,0.0594,0.0473,0.0687,0.0354
0.75,0.0529,0.0438,0.0614,0.0294
1,0.0491,0.0396,0.0549,0.0277
1.33333333333333,0.0478,0.0386,0.0545,0.0277
2,0.0621,0.0501,0.0693,0.0385
3,0.0725,0.0544,0.0828,0.0472
4,0.0765,0.0566,0.092,0.0617
