"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0726,0.0543,0.0709,0.0494
0.333333333333333,0.0676,0.0527,0.0679,0.0476
0.5,0.0578,0.0486,0.0595,0.0385
0.75,0.0494,0.0434,0.0547,0.0326
1,0.0515,0.046,0.0581,0.0335
1.33333333333333,0.053,0.0458,0.057,0.0324
2,0.058,0.0495,0.0606,0.0376
3,0.0664,0.0524,0.0667,0.0439
4,0.0736,0.0557,0.0749,0.0542
