"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0524,0.0546,0.044,0.044
0.333333333333333,0.0476,0.0496,0.0378,0.0378
0.5,0.0417,0.0421,0.0291,0.0291
0.75,0.048,0.0453,0.0306,0.0306
1,0.0485,0.0423,0.0314,0.0314
1.33333333333333,0.0608,0.0489,0.0397,0.0397
2,0.0779,0.0549,0.0506,0.0506
3,0.093,0.0534,0.0646,0.0646
4,0.1098,0.0547,0.0771,0.0771
