"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0703,0.053,0.0525,0.0525
0.333333333333333,0.0621,0.051,0.0464,0.0464
0.5,0.0625,0.0554,0.0502,0.0502
0.75,0.0553,0.0497,0.0443,0.0443
1,0.0497,0.046,0.0421,0.0421
1.33333333333333,0.0518,0.0473,0.0403,0.0403
2,0.0535,0.0458,0.0396,0.0396
3,0.065,0.0521,0.0483,0.0483
4,0.0714,0.0536,0.0497,0.0497
