"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0316,0.0499,0.0335,0.0335
0.333333333333333,0.031,0.049,0.0309,0.0309
0.5,0.0361,0.0453,0.0295,0.0295
0.75,0.0423,0.0445,0.0299,0.0299
1,0.0491,0.0445,0.0338,0.0338
1.33333333333333,0.066,0.0567,0.0479,0.0479
2,0.1069,0.0661,0.0724,0.0724
3,0.1426,0.0697,0.1021,0.1021
4,0.1663,0.0644,0.1223,0.1223
