"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0311,0.0498,0.035,0.035
0.333333333333333,0.0288,0.0452,0.0298,0.0298
0.5,0.0316,0.0392,0.0265,0.0265
0.75,0.0371,0.0408,0.0281,0.0281
1,0.0503,0.0476,0.0364,0.0364
1.33333333333333,0.0659,0.0506,0.0412,0.0412
2,0.0975,0.0613,0.0685,0.0685
3,0.1362,0.0632,0.0975,0.0975
4,0.1611,0.0629,0.1211,0.1211
