"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0305,0.0492,0.0331,0.0331
0.333333333333333,0.0284,0.0417,0.0294,0.0294
0.5,0.033,0.0414,0.0304,0.0304
0.75,0.0404,0.0416,0.0311,0.0311
1,0.052,0.0492,0.0381,0.0381
1.33333333333333,0.0682,0.0552,0.0466,0.0466
2,0.0979,0.0603,0.0694,0.0694
3,0.1413,0.0673,0.1021,0.1021
4,0.1607,0.0591,0.1212,0.1212
