"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0294,0.0489,0.0314,0.0314
0.333333333333333,0.0294,0.0461,0.0295,0.0295
0.5,0.0328,0.0405,0.0279,0.0279
0.75,0.0428,0.0434,0.0306,0.0306
1,0.0518,0.0479,0.0376,0.0376
1.33333333333333,0.0692,0.0517,0.0467,0.0467
2,0.0998,0.062,0.0672,0.0672
3,0.141,0.0684,0.1016,0.1016
4,0.1613,0.0642,0.1239,0.1239
