"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0491,0.0501,0.043,0.043
0.333333333333333,0.0521,0.0537,0.0399,0.0399
0.5,0.0457,0.0454,0.0308,0.0308
0.75,0.0444,0.0397,0.0274,0.0274
1,0.0452,0.0406,0.0305,0.0305
1.33333333333333,0.0599,0.0489,0.0373,0.0373
2,0.0749,0.0492,0.0457,0.0457
3,0.0945,0.0519,0.0649,0.0649
4,0.1039,0.0535,0.0729,0.0729
