"ratio","t","Welch","Wilcoxon","Wilcoxon(exact)"
0.25,0.0782,0.0535,0.0901,0.0591
0.333333333333333,0.0734,0.0532,0.0843,0.0521
0.5,0.0584,0.0461,0.0652,0.0372
0.75,0.0516,0.0409,0.0574,0.0277
1,0.0469,0.0391,0.0538,0.027
1.33333333333333,0.0497,0.0417,0.0554,0.0284
2,0.0573,0.0465,0.0659,0.0355
3,0.0676,0.0494,0.0793,0.0475
4,0.0765,0.0539,0.0883,0.0564
